Admission_Rate,In-State_Tuition,Out-of-State_Tuition,Student_Size,Average_SAT_Score,Median_Earnings_10_Years_After,Completion_Rate,Pell_Grant_Rate,College_Name,Ranking_Score
0.4309742134237578,0.1466247348789585,0.2725663716814159,0.6573599297127857,0.1731901818482129,0.3576550435572931,0.2051282051282051,1.0000000000000002,Alabama A & M University,0.3420968640515094
0.732171959950094,0.1291889124552037,0.310334235354348,0.785244153224895,0.782009347931762,0.578453267459476,0.615271159518947,0.6494271239131526,University of Alabama at Birmingham,0.5747038125697744
0.5813012842012629,0.1737438747897315,0.3623199005338989,0.6994153123938172,0.743401031791791,0.6778584401927255,0.5970047651463579,0.495912182280224,University of Alabama in Huntsville,0.5678004046963946
0.9277297239628826,0.1618957068675492,0.2837124259489505,0.5926663481728192,0.2673116477337771,0.2420390469677698,0.2128432039936464,1.0000000000000002,Alabama State University,0.3859444505216491
0.6142795380112904,0.1746507715936517,0.4724639801067798,0.912894272373402,0.7971625200354993,0.6440564951505263,0.7170410710233718,0.4375051159723672,The University of Alabama,0.6167170993060384
0.8387789588166751,0.1331090470269875,0.2830103122943026,0.5931398641226049,0.4363339430435644,0.4224357460426429,0.3003176764238711,0.8010177208817107,Auburn University at Montgomery,0.4399513144324699
0.1440212196795126,0.1781028303956703,0.4821180428581876,0.8819976964179472,0.7831856031741609,0.7235707059809804,0.81143635125936,0.3482120379006146,Auburn University,0.5863397608266938
0.2834921955066726,0.3108315658597235,0.3108315658597235,0.418588131405066,0.6910255308464457,0.6475568228117323,0.6616746085772633,0.5097294822916126,Birmingham-Southern College,0.5228279081530335
0.6549785624625721,0.3498866378995099,0.3498866378995099,0.4888114638983698,0.3819263983632481,0.4067453907188976,0.1889040163376446,0.8033640835998861,Faulkner University,0.4361379576361351
0.3963791572427171,0.4146858772763841,0.4146858772763841,0.393283736563502,0.4960779668981558,0.5057665829866962,0.4316995688677103,0.7242081041466063,Huntingdon College,0.4831213246346089
0.5872926968855836,0.1748263000073137,0.3205148833467418,0.7010541470134659,0.4433587413718669,0.4364067059365113,0.474245518493306,0.7781318882980328,Jacksonville State University,0.4581356684519497
0.4376208483702481,0.1607547721787464,0.2938638192057339,0.5489967371684155,0.3706661368914865,0.4197819501674242,0.3349217154526888,0.7973227081202607,University of West Alabama,0.3916470192732531
0.6846703110195227,0.3785562787976304,0.3785562787976304,0.4377728410586199,0.6936605897831214,0.4093494150365799,0.4495121397776264,0.587562255695364,University of Mobile,0.5207425265735746
0.670011164913372,0.5371900826446281,0.5371900826446281,0.6078643736628233,0.7028168866213491,0.6338684416798586,0.7830723848422962,0.3107540466665528,Samford University,0.6501265851288067
0.3882504844741637,0.1333430849118701,0.2593724859211584,0.7217071426881456,0.5474860253984843,0.5023505509856157,0.4338552303154072,0.716132867348272,University of South Alabama,0.4527611099664952
0.4939004090077642,0.3178819571418123,0.3178819571418123,0.413205951561336,0.5092067176287856,0.5345375308362921,0.5625141819832084,0.6771690842935975,Spring Hill College,0.4849339453054699
0.8913731433396426,0.1362100490016821,0.2724200980033643,0.7548422313804177,0.4345695346910361,0.3828421803881778,0.4454277286135691,0.7601679403243041,Troy University,0.4651390699660939
0.04029857131496,0.3307832955459665,0.3307832955459665,0.5286080940445366,0.5043055845671915,0.5063808881641454,0.6021102791014294,0.922709383304253,Tuskegee University,0.4646094468213626
0.7336582024848562,0.1941783076135449,0.5789073356249543,0.9401175827692128,0.7054141650589827,0.654230001697258,0.6432947583390061,0.5810141812311864,University of Arizona,0.6294129918573195
0.4252334255081459,0.5918818108681343,0.5918818108681343,0.5845938325375482,0.7665536211022754,0.937866848117058,0.6917404129793508,0.4362456575977133,Embry-Riddle Aeronautical University-Prescott,0.7104176870866972
0.3364892443296784,0.1223725590579975,0.2772910114824837,0.6461517406589568,0.5010234370622584,0.4368997631698765,0.3581801679146811,0.730113459852256,University of Arkansas at Little Rock,0.4103760412892193
0.59515937861611,0.1412418635266583,0.4009361515395305,0.8862597207535863,0.6208376118659089,0.6300777146466037,0.6822101202632175,0.4428352240029631,University of Arkansas,0.5570297363252268
0.4444614201804305,0.1267900241351569,0.2316682512981789,0.5322817421489818,0.0725287471316278,0.2628340500253858,0.3592012707056954,1.0000000000000002,University of Arkansas at Pine Bluff,0.2991918326917628
0.4470944539654176,0.1090616543552987,0.194719520222336,0.7088240830480503,0.5490460129972234,0.3924208925453638,0.4993192648059904,0.6858674471495045,Arkansas State University,0.4293948165412319
0.8821926717404434,0.1180574855554743,0.2031887661815256,0.6803449470877772,0.502665988698709,0.377695477431391,0.4309053778080326,0.6667958352590008,Arkansas Tech University,0.4526867583818427
0.818653122513233,0.1430264023988883,0.2446866086447743,0.7107160762485678,0.5474860253984843,0.4478980414232065,0.458702064896755,0.6896458239653386,University of Central Arkansas,0.4854401722727157
0.3690080755246032,0.2589044101513932,0.2589044101513932,0.3216534762365739,0.3630864159683824,0.4616368465532261,0.3376446562287269,0.7711803779412194,Central Baptist College,0.3840056152457911
0.156519602012041,0.3385943099539238,0.3385943099539238,0.5883766438573286,0.6420982263562109,0.5549008636325641,0.6697299750397094,0.4657819827185725,Harding University,0.5057298322107687
0.464089811340133,0.1105829006070357,0.1428801287208367,0.506704960262899,0.3781874408268777,0.4067792526792377,0.327887451781257,0.7886631064905854,Henderson State University,0.3626993093576721
0.3215012565771669,0.5134206099612375,0.5134206099612375,0.4401878147727397,0.7271605184887449,0.6595206552780319,0.6983208531881097,0.5460980608394506,Hendrix College,0.6046683132375008
